Name,Quantity,Price,Source
PCB,1,$9.70,https://cart.jlcpcb.com/quote?rand=0.7251677947529979
RP2040,1,$6.88,https://www.aliexpress.com/item/1005008200917480.html?spm=a2g0o.productlist.main.4.4b9e42a1MCcIjV&algo_pvid=e16c989f-d429-4002-ad84-a61e6fcb5cfe&algo_exp_id=e16c989f-d429-4002-ad84-a61e6fcb5cfe-11&pdp_ext_f=%7B%22order%22%3A%22306%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.45%215.14%21%21%217.45%215.14%21%402140c1c317766491906886400ea6b2%2112000044216833796%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895&curPageLogUid=4a9uhSDmLKO1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008200917480%7C_p_origin_prod%3A
LED,3,$2.22,https://www.aliexpress.com/item/1005010455818740.html?spm=a2g0o.productlist.similar_items.1.1c7731f8OJGvUe&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg%7Cx_object_id%3A1005010455818740%7C_p_origin_prod%3A&algo_pvid=260f3bce-3a12-4cb3-87bb-96fa95b5b2b8&algo_exp_id=260f3bce-3a12-4cb3-87bb-96fa95b5b2b8&pdp_ext_f=%7B%22order%22%3A%2271%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.74%210.74%21%21%215.00%215.00%21%402101246417766499479053458efdc7%2112000052473034284%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895
470 Resistor,1,$6.88,https://www.aliexpress.com/item/1005008291183463.html?spm=a2g0o.productlist.main.3.2b66e942agFB96&algo_pvid=e85b2a77-c86e-48c6-a07b-4304d430d100&algo_exp_id=e85b2a77-c86e-48c6-a07b-4304d430d100-2&pdp_ext_f=%7B%22order%22%3A%221757%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.62%210.62%21%21%214.20%214.20%21%402102f0cc17766500177753442e84fe%2112000044502493128%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895&curPageLogUid=J5YJYKnyh8Ec&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008291183463%7C_p_origin_prod%3A
Total,,$25.68,
